,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,19998143636.0,18019554403.0,18896353156.0,18418860354.0,18904502222.0,18847482754
1,1,Albania,ALB,11386853143.0,11861199831.0,13019726212.0,15156424062.0,15401826081.0,13365205866
2,2,Algeria,DZA,166000000000.0,160000000000.0,170000000000.0,175000000000.0,172000000000.0,1.69E+11
3,5,Angola,AGO,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0,70626923115
4,8,Armenia,ARM,10553337528.0,10546136240.0,11527458713.0,12457940705.0,13619290546.0,11740832746
5,9,Australia,AUS,1350000000000.0,1210000000000.0,1330000000000.0,1430000000000.0,1390000000000.0,1.34E+12
6,10,Austria,AUT,382000000000.0,396000000000.0,417000000000.0,455000000000.0,445000000000.0,4.19E+11
7,11,Azerbaijan,AZE,53076244755.0,37867007023.0,40866632048.0,47112479289.0,48174235294.0,45419319682
8,12,"Bahamas, The",BHS,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,12277900000
9,13,Bahrain,BHR,31050638298.0,32234973404.0,35473776596.0,37802005319.0,38653318085.0,35042942340
10,14,Bangladesh,BGD,195000000000.0,265000000000.0,294000000000.0,321000000000.0,351000000000.0,2.85E+11
11,15,Barbados,BRB,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4992125010
12,16,Belarus,BLR,56454895055.0,47723549319.0,54725311690.0,60031163987.0,64410112583.0,56669006527
13,17,Belgium,BEL,462000000000.0,476000000000.0,503000000000.0,543000000000.0,536000000000.0,5.04E+11
14,18,Belize,BLZ,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2297300000
15,19,Benin,BEN,11388160997.0,11821065852.0,12701655846.0,14262408080.0,14391686309.0,12912995417
16,21,Bhutan,BTN,2003596824.0,2158971718.0,2450366108.0,2446867582.0,2535655609.0,2319091568
17,22,Bolivia,BOL,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,37126587479
18,23,Bosnia and Herzegovina,BIH,16404352156.0,17116926092.0,18326376394.0,20484048416.0,20482603346.0,18562861281
19,24,Botswana,BWA,13530749290.0,15082636723.0,16105156376.0,17031943186.0,16725908662.0,15695278847
20,25,Brazil,BRA,1800000000000.0,1800000000000.0,2060000000000.0,1920000000000.0,1870000000000.0,1.89E+12
21,26,Brunei Darussalam,BRN,12930292949.0,11400467372.0,12128182464.0,13567164445.0,13469240163.0,12699069479
22,27,Bulgaria,BGR,50828088836.0,53987487124.0,59343060706.0,66399602077.0,68911930628.0,59894033874
23,28,Burkina Faso,BFA,11832159316.0,12833363044.0,14106955625.0,15890066210.0,16178161666.0,14168141172
24,29,Burundi,BDI,3104003546.0,2644487777.0,2723586962.0,2667182199.0,2576518879.0,2743155873
25,30,Cabo Verde,CPV,1749857628.0,1849789993.0,1996741545.0,2205099509.0,2266752197.0,2013648174
26,31,Cambodia,KHM,18049954289.0,20016747858.0,22177200589.0,24571753582.0,27089390033.0,22381009270
27,32,Cameroon,CMR,32210233022.0,33814337041.0,36098547059.0,39973842059.0,39670976440.0,36353587124
28,33,Canada,CAN,1560000000000.0,1530000000000.0,1650000000000.0,1730000000000.0,1740000000000.0,1.64E+12
29,34,Central African Republic,CAF,1695825714.0,1825018144.0,2072349974.0,2220979145.0,2221301351.0,2007094866
30,35,Chad,TCD,10950392257.0,10097778097.0,10000394388.0,11239167890.0,11314951088.0,10720536744
31,36,Chile,CHL,242000000000.0,249000000000.0,276000000000.0,295000000000.0,278000000000.0,2.68E+11
32,37,China,CHN,11100000000000.0,11200000000000.0,12300000000000.0,13900000000000.0,14300000000000.0,1.26E+13
33,38,Colombia,COL,293000000000.0,283000000000.0,312000000000.0,334000000000.0,323000000000.0,3.09E+11
34,41,"Congo, Rep.",COG,11890259177.0,10219341017.0,11094823677.0,13670038020.0,12750338736.0,11924960125
35,42,Costa Rica,CRI,56441920824.0,58847019585.0,60516044623.0,62420164965.0,64417670556.0,60528564111
36,43,Cote d'Ivoire,CIV,45815005171.0,48407761032.0,52512344034.0,58522477745.0,59898479821.0,53031213561
37,44,Croatia,HRV,50742086223.0,52391038979.0,55937483558.0,61330483610.0,61329267533.0,56346071981
38,46,Cyprus,CYP,19909269065.0,21046452117.0,22946583376.0,25597301191.0,25945194240.0,23088959998
39,47,Czechia,CZE,188000000000.0,196000000000.0,219000000000.0,249000000000.0,253000000000.0,2.21E+11
40,48,Denmark,DNK,303000000000.0,313000000000.0,332000000000.0,357000000000.0,346000000000.0,3.30E+11
41,49,Djibouti,DJI,2424391785.0,2604955229.0,2762581334.0,2913466732.0,3088853639.0,2758849744
42,51,Dominican Republic,DOM,71164826720.0,75704647977.0,79998045976.0,85555390386.0,88941371980.0,80272856608
43,52,Ecuador,ECU,99290381000.0,99937696000.0,104000000000.0,108000000000.0,108000000000.0,1.04E+11
44,53,"Egypt, Arab Rep.",EGY,329000000000.0,332000000000.0,248000000000.0,263000000000.0,319000000000.0,2.98E+11
45,54,El Salvador,SLV,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,25102170000
46,55,Equatorial Guinea,GNQ,13185496881.0,11240808847.0,12200913888.0,13097012124.0,11364133546.0,12217673057
47,57,Estonia,EST,22890762090.0,24072829277.0,26924385103.0,30624720196.0,31081901909.0,27118919715
