,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,592.4761648,520.2519549,530.1498626,502.0570992,500.5229808,529.0916125
1,1,Angola,AGO,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,2344.660041
2,2,Albania,ALB,3952.803584,4124.05539,4531.032207,5287.660817,5396.214227,4658.353245
3,4,United Arab Emirates,ARE,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,43548.4171
4,6,Armenia,ARM,3666.141825,3679.952349,4041.995072,4391.923274,4828.504889,4121.703482
5,9,Australia,AUS,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,54533.57687
6,10,Austria,AUT,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,47693.90476
7,11,Azerbaijan,AZE,5500.50462,3880.686267,4147.198619,4739.795242,4805.753718,4614.787693
8,12,Burundi,BDI,289.3596271,242.5395274,244.1454221,232.0606166,216.9729709,245.0156328
9,13,Belgium,BEL,41008.29672,42012.62272,44198.48239,47544.98115,46641.71166,44281.21893
10,14,Benin,BEN,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1110.430206
11,15,Burkina Faso,BFA,632.1266858,665.7863285,711.1845439,779.2027681,772.1668775,712.0934408
12,16,Bangladesh,BGD,1236.004398,1659.962489,1815.610191,1963.412707,2122.078386,1759.413634
13,17,Bulgaria,BGR,7081.102336,7574.191264,8386.589202,9451.85087,9878.768872,8474.500509
14,18,Bahrain,BHR,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,24259.49988
15,19,"Bahamas, The",BHS,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,30774.49329
16,20,Bosnia and Herzegovina,BIH,4654.609552,4917.263698,5327.393184,6024.491546,6094.723214,5403.696239
17,21,Belarus,BLR,5967.069185,5039.776032,5785.534975,6360.05206,6837.767232,5998.039897
18,22,Belize,BLZ,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,6132.381714
19,24,Bolivia,BOL,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3242.509503
20,25,Brazil,BRA,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,9065.402274
21,26,Barbados,BRB,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,17880.99916
22,27,Brunei Darussalam,BRN,30681.43744,26762.03743,28186.98339,31241.02397,30748.32019,29523.96048
23,28,Bhutan,BTN,2695.636904,2879.546572,3240.706326,3210.707814,3303.962309,3066.111985
24,29,Botswana,BWA,5869.737772,6411.551666,6705.341062,6947.817841,6691.161051,6525.121878
25,30,Central African Republic,CAF,351.8797548,372.1354561,414.7403226,435.9322963,426.408753,400.2193166
26,31,Canada,CAN,43596.13554,42315.60371,45129.4293,46547.79518,46374.15275,44792.6233
27,32,Switzerland,CHE,83806.4476,82153.07454,82254.37693,85216.64295,84121.93103,83510.49461
28,33,Chile,CHL,13569.94813,13785.6876,15045.52785,15795.70814,14627.14502,14564.80335
29,34,China,CHN,8016.446016,8094.390375,8817.045496,9905.406118,10143.86021,8995.429643
30,35,Cote d'Ivoire,CIV,1941.581898,1999.195372,2113.341525,2295.540335,2290.787379,2128.089302
31,36,Cameroon,CMR,1399.675336,1426.065481,1479.862223,1594.060109,1538.687912,1487.670212
32,38,"Congo, Rep.",COG,2347.818507,1970.250199,2088.500299,2512.384167,2288.808086,2241.552252
33,39,Colombia,COL,6228.651622,5936.261022,6449.970987,6782.03792,6436.509215,6366.686153
34,41,Cabo Verde,CPV,3169.078915,3312.696757,3534.343583,3860.454811,3928.309096,3560.976632
35,42,Costa Rica,CRI,11529.95517,11899.81398,12118.13362,12383.14995,12669.34116,12120.07878
36,44,Cyprus,CYP,23487.21875,24715.14258,26697.00586,29419.88672,29417.92188,26747.43516
37,45,Czechia,CZE,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,20826.09172
38,46,Germany,DEU,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,44524.98629
39,47,Djibouti,DJI,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2648.533176
40,49,Denmark,DNK,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,57342.7725
41,50,Dominican Republic,DOM,6838.936735,7191.069713,7513.497951,7947.159354,8173.344646,7532.80168
42,51,Algeria,DZA,4197.419971,3967.20066,4134.936099,4171.795309,4021.983608,4098.667129
