,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,2.325331192
1,1,Angola,AGO,9.353839725,30.69895786,29.84257779,19.63059436,17.07970441,21.32113483
2,2,Albania,ALB,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079,1.719483493
3,4,United Arab Emirates,ARE,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148,1.758366479
4,6,Armenia,ARM,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.452263466
5,9,Australia,AUS,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,1.651234779
6,10,Austria,AUT,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.479739932
7,11,Azerbaijan,AZE,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,6.85721955
8,12,Burundi,BDI,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171,4.730688716
9,13,Belgium,BEL,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,1.630247446
10,14,Benin,BEN,0.218785924,-0.794050174,1.769412474,0.644803622,-0.705026635,0.226785042
11,15,Burkina Faso,BFA,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934,0.274286618
12,16,Bangladesh,BGD,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399,5.709098782
13,17,Bulgaria,BGR,-0.104633261,-0.798649886,2.061596194,2.814544738,3.103729448,1.415317447
14,18,Bahrain,BHR,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047,1.823125727
15,19,"Bahamas, The",BHS,1.861483029,-0.34637693,1.518207007,2.265863467,2.491235274,1.558082369
16,20,Bosnia and Herzegovina,BIH,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154,0.033980116
17,21,Belarus,BLR,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595,8.374673188
18,22,Belize,BLZ,-0.861584009,0.663427168,1.147653393,0.269982623,0.187069385,0.281309712
19,24,Bolivia,BOL,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505,2.923437541
20,25,Brazil,BRA,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212,5.722648879
21,26,Barbados,BRB,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645,2.520685319
22,27,Brunei Darussalam,BRN,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069,-0.278603322
23,28,Bhutan,BTN,4.548143951,3.219886894,4.95508367,2.723963862,2.726430374,3.63470175
24,29,Botswana,BWA,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429,3.039230079
25,30,Central African Republic,CAF,1.402970171,4.945432761,4.180723319,1.61215687,2.685373553,2.965331335
26,31,Canada,CAN,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024,1.673675947
27,32,Switzerland,CHE,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,0.05089643
28,33,Chile,CHL,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.062024026
29,34,China,CHN,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.000837239
30,35,Cote d'Ivoire,CIV,1.251499548,0.723178458,0.685881065,0.359409031,-1.10686344,0.382620932
31,36,Cameroon,CMR,2.676235314,0.874190383,0.64040915,1.068858113,2.452802141,1.54249902
32,38,"Congo, Rep.",COG,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058,2.033715122
33,39,Colombia,COL,4.989831158,7.513460246,4.314313257,3.240569329,3.523019327,4.716238663
34,41,Cabo Verde,CPV,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666743,0.374289858
35,42,Costa Rica,CRI,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353,1.34551421
36,44,Cyprus,CYP,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.261707134
37,45,Czechia,CZE,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,1.68815473
38,46,Germany,DEU,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,1.138699313
39,47,Djibouti,DJI,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.185271809
40,49,Denmark,DNK,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.684181473
41,50,Dominican Republic,DOM,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,2.221101479
42,51,Algeria,DZA,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,4.599003227
43,52,Ecuador,ECU,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,1.230831145
44,53,"Egypt, Arab Rep.",EGY,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,15.44899406
45,55,Spain,ESP,-0.50036571,-0.202598,1.956076334,1.674981369,0.699518994,0.725522597
46,56,Estonia,EST,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312,1.757436118
47,57,Ethiopia,ETH,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217,11.30536316
48,58,Finland,FIN,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.602137124
49,59,Fiji,FJI,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,2.888053471
50,60,France,FRA,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.8424404
51,62,Gabon,GAB,-0.338795189,2.106707128,2.651925831,4.749066521,2.464567562,2.326694371
52,63,United Kingdom,GBR,0.368046842,1.008417368,2.557755776,2.292839903,1.738104601,1.593032898
53,64,Georgia,GEO,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,3.928393106
54,65,Ghana,GHA,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,12.38578619
55,66,Guinea,GIN,11.7800825,8.172681123,8.914359479,9.827617013,9.470010393,9.632950102
56,67,"Gambia, The",GMB,6.808454946,7.228792721,8.034189745,6.520968239,7.115676256,7.141616381
57,68,Guinea-Bissau,GNB,1.476720489,1.503120559,1.691114618,0.381324703,0.246600268,1.059776127
58,69,Equatorial Guinea,GNQ,1.676630853,1.411939155,0.744354747,1.060074107,1.53027529,1.28465483
59,70,Greece,GRC,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-0.112331714
60,73,Guatemala,GTM,2.388720328,4.448441999,4.424536552,3.751861867,3.69998398,3.742708945
61,75,Guyana,GUY,-1.001734328,0.836008062,1.904656155,1.282842884,2.087230892,1.021800733
62,76,Honduras,HND,3.15783118,2.724612233,3.934360844,4.347349378,4.365871598,3.706005047
63,77,Croatia,HRV,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346,0.362363691
64,78,Haiti,HTI,6.731840697,11.50290739,10.68008872,12.48141112,18.70378257,12.0200061
65,79,Hungary,HUN,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354,1.774040344
66,80,Indonesia,IDN,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665,3.985331485
67,81,India,IND,4.906973441,4.948216341,3.328173375,3.938826467,3.729505735,4.170339072
68,82,Ireland,IRL,-0.289879079,0.008306338,0.340531561,0.488370168,0.939044481,0.297274694
69,83,"Iran, Islamic Rep.",IRN,12.48468156,7.24542549,8.044924377,18.01411834,39.90734557,17.13929907
70,84,Iraq,IRQ,1.393330288,0.556521397,0.184058899,0.367441489,-0.19896538,0.460477339
71,85,Iceland,ISL,1.633055582,1.69692762,1.760415592,2.682917683,3.013971792,2.157457654
72,86,Israel,ISR,-0.601291007,-0.551552353,0.259414975,0.79407566,0.849783128,0.150086081
73,87,Italy,ITA,0.0387904,-0.094016657,1.226533166,1.137487636,0.611246944,0.584008298
74,88,Jamaica,JAM,3.691542289,2.351021975,4.37839865,3.736638822,3.905100009,3.612540349
75,89,Jordan,JOR,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047,1.378487557
76,90,Japan,JPN,0.795279631,-0.127258844,0.484199796,0.989094598,0.468776159,0.522018268
77,91,Kazakhstan,KAZ,6.665776115,14.54602379,7.440004373,6.019130966,5.245476796,7.983282408
78,92,Kenya,KEN,6.582174403,6.297157525,8.005722791,4.689819761,5.235859994,6.162146895
79,93,Kyrgyz Republic,KGZ,6.50331839,0.388838297,3.175309864,1.542661452,1.133622577,2.548750116
80,94,Cambodia,KHM,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008,2.311473488
81,97,"Korea, Rep.",KOR,0.706331772,0.97168574,1.944332308,1.47583935,0.383000304,1.096237895
82,98,Kuwait,KWT,3.271701661,3.198397767,2.171832985,0.543133148,1.091848027,2.055382718
83,99,Lao PDR,LAO,1.277354271,1.596912276,0.825478608,2.040392669,3.322558813,1.812539327
84,100,Lebanon,LBN,-3.749145248,-0.783359624,4.321352183,6.076989079,3.005389494,1.774245177
85,103,St. Lucia,LCA,-0.983600953,-3.078217657,0.104262079,1.935618932,0.539087559,-0.296570008
86,104,Sri Lanka,LKA,3.768367831,3.958888466,7.704137679,2.135037737,3.528393582,4.218965059
87,105,Lesotho,LSO,3.218445137,6.596504907,4.447699374,4.751803016,5.187083592,4.840307205
88,106,Lithuania,LTU,-0.884097406,0.905525075,3.722888623,2.697927792,2.33450938,1.755350693
89,107,Luxembourg,LUX,0.474743161,0.290833333,1.730799591,1.528195243,1.743320757,1.153578417
90,108,Latvia,LVA,0.174242244,0.140633335,2.930363124,2.534454242,2.811409201,1.718220429
91,109,Morocco,MAR,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,1.211036851
92,111,Moldova,MDA,9.676240331,6.35930898,6.570229975,3.045053973,4.837783514,6.097723355
93,112,Madagascar,MDG,7.404191742,6.035758582,8.609050754,8.594229589,5.610514415,7.250749016
94,113,Maldives,MDV,0.953206659,0.502509414,2.817473382,-0.133373386,0.220029731,0.87196916
95,114,Mexico,MEX,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421,4.023823462
96,116,North Macedonia,MKD,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573,0.607432038
97,117,Mali,MLI,1.450690576,-1.799647071,1.759857429,0.299546507,-1.658266948,0.010436099
98,118,Malta,MLT,1.100548264,0.642702772,1.364354482,1.157823625,1.642060018,1.181497832
99,119,Myanmar,MMR,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,7.330585866
100,120,Montenegro,MNE,1.548691582,-0.271385023,2.380235991,2.611223783,0.361563705,1.326066008
101,121,Mongolia,MNG,5.735682819,0.733272227,4.301431053,6.824247901,7.301069536,4.979140707
