,index,Country Name,Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,8.989,10.086,11.18,11.11,11.085,10.49
1,1,Angola,AGO,9.584,9.586,9.535,9.522,9.481,9.5416
2,2,Albania,ALB,17.19,15.42,13.62,12.3,11.47,14
3,4,United Arab Emirates,ARE,1.763,1.64,2.46,2.24,2.33,2.0866
4,6,Armenia,ARM,12.177,12.426,12.944,13.21,12.2,12.5914
5,9,Australia,AUS,6.05,5.71,5.59,5.3,5.16,5.562
6,10,Austria,AUT,5.72,6.01,5.5,4.85,4.49,5.314
7,11,Azerbaijan,AZE,4.96,5.0,4.96,4.94,4.85,4.942
8,12,Burundi,BDI,1.477,1.315,1.166,1.017,0.871,1.1692
9,13,Belgium,BEL,8.48,7.83,7.09,5.95,5.36,6.942
10,14,Benin,BEN,2.023,1.836,1.643,1.47,1.466,1.6876
11,15,Burkina Faso,BFA,4.344,4.44,4.566,4.69,4.693,4.5466
12,16,Bangladesh,BGD,4.371,4.35,4.37,4.38,4.382,4.3706
13,17,Bulgaria,BGR,9.14,7.57,6.16,5.21,4.23,6.462
14,18,Bahrain,BHR,1.197,1.181,1.169,1.185,1.181,1.1826
15,19,"Bahamas, The",BHS,12.0,12.7,9.8,10.0,10.051,10.9102
16,20,Bosnia and Herzegovina,BIH,27.69,25.41,20.53,18.4,15.69,21.544
17,21,Belarus,BLR,5.838,5.84,5.65,4.76,4.16,5.2496
18,22,Belize,BLZ,7.58,7.0,6.6,7.814,9.05,7.6088
19,24,Bolivia,BOL,3.11,3.5,3.65,3.52,3.68,3.492
20,25,Brazil,BRA,8.56,11.74,12.93,12.46,12.05,11.548
21,26,Barbados,BRB,9.8,8.25,8.62,8.32,8.41,8.68
22,27,Brunei Darussalam,BRN,7.693,8.432,9.32,8.7,6.92,8.213
23,28,Bhutan,BTN,2.45,2.774,3.056,3.35,2.72,2.87
24,29,Botswana,BWA,19.299,19.315,19.603,19.838,20.09,19.629
25,30,Central African Republic,CAF,5.737,5.746,5.762,5.7,5.755,5.74
26,31,Canada,CAN,6.91,7.0,6.34,5.83,5.66,6.348
27,32,Switzerland,CHE,4.8,4.92,4.8,4.71,4.39,4.724
28,33,Chile,CHL,6.49,6.73,6.95,7.21,7.27,6.93
29,34,China,CHN,4.65,4.56,4.47,4.31,4.56,4.51
30,35,Cote d'Ivoire,CIV,2.697,1.9,3.27,2.835,2.4,2.6204
31,36,Cameroon,CMR,3.546,3.572,3.598,3.609,3.629,3.5908
32,38,"Congo, Rep.",COG,20.485,20.648,20.592,20.644,20.612,20.5962
33,39,Colombia,COL,8.3,8.69,8.87,9.11,9.96,8.986
34,41,Cabo Verde,CPV,11.81,12.002,12.24,12.17,12.207,12.0858
35,42,Costa Rica,CRI,8.42,8.09,7.73,9.01,10.81,8.812
36,44,Cyprus,CYP,14.91,12.95,11.05,8.37,7.07,10.87
37,45,Czechia,CZE,5.05,3.95,2.89,2.24,2.01,3.228
38,46,Germany,DEU,4.62,4.12,3.75,3.38,3.14,3.802
39,47,Djibouti,DJI,26.337,26.197,26.06,26.149,26.315,26.2116
40,49,Denmark,DNK,6.28,5.99,5.83,5.13,5.02,5.65
41,50,Dominican Republic,DOM,7.61,7.28,5.83,5.86,6.18,6.552
42,51,Algeria,DZA,11.21,10.2,10.334,10.416,10.495,10.531
43,52,Ecuador,ECU,3.62,4.6,3.84,3.53,3.81,3.88
44,53,"Egypt, Arab Rep.",EGY,13.052,12.45,11.767,9.855,7.851,10.995
45,55,Spain,ESP,22.06,19.64,17.22,15.25,14.1,17.654
46,56,Estonia,EST,6.41,6.88,5.81,5.41,4.51,5.804
47,57,Ethiopia,ETH,2.573,2.735,2.896,3.058,3.219,2.8962
48,58,Finland,FIN,9.38,8.82,8.64,7.36,6.69,8.178
49,59,Fiji,FJI,4.286,4.32,4.261,4.315,4.442,4.3248
50,60,France,FRA,10.35,10.05,9.41,9.02,8.41,9.448
51,62,Gabon,GAB,20.601,20.668,20.732,20.747,20.695,20.6886
