,index,Country Name,Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,4.810425,4.8155184,4.8165836,4.8279133,4.8510346,4.82429498
1,1,Albania,ALB,3.8181894,3.8151882,3.8113596,3.8191874,3.8375373,3.82029238
2,2,Algeria,DZA,4.7231584,4.730639,4.737448,4.750126,4.771976,4.74266948
3,5,Angola,AGO,3.9686215,3.9672763,3.9651573,3.9547124,3.9340954,3.95797258
4,8,Armenia,ARM,3.151636,3.1497703,3.147962,3.1483963,3.1505976,3.14967244
5,9,Australia,AUS,5.5441623,5.67749,5.812073,5.8207517,5.8151646,5.73392832
6,10,Austria,AUT,5.963028,5.983274,6.0037413,6.007505,6.0064344,5.99279654
7,11,Azerbaijan,AZE,2.5048695,2.493198,2.482483,2.478925,2.4775383,2.48740276
8,12,Bahamas,BHS,4.3288636,4.3342676,4.3388643,4.343269,4.3490176,4.33885642
9,13,Bahrain,BHR,4.9055676,4.8906527,4.8809757,4.9006104,4.937836,4.90312848
10,14,Bangladesh,BGD,3.1569493,3.1587863,3.1612337,3.168371,3.1809232,3.1652527
11,15,Barbados,BRB,4.324533,4.329384,4.3313775,4.330795,4.328706,4.3289591
12,16,Belarus,BLR,3.490736,3.4861212,3.4813712,3.4809403,3.4831994,3.48447362
13,17,Belgium,BEL,5.100454,5.097948,5.0885506,5.0731163,5.04724,5.08146178
14,18,Belize,BLZ,4.161798,4.1646996,4.166853,4.173387,4.1840634,4.1701602
15,19,Benin,BEN,3.2099452,3.2227829,3.2329965,3.2333288,3.2288494,3.22558056
16,21,Bhutan,BTN,3.242977,3.2415788,3.239961,3.2490985,3.2678254,3.24828814
17,22,Bolivia,BOL,5.7377477,5.7332025,5.7271137,5.7306776,5.7405457,5.73385744
18,23,Bosnia and Herzegovina,BIH,3.537238,3.53214,3.5282176,3.530499,3.5371947,3.53305786
19,24,Botswana,BWA,3.5766718,3.5842164,3.5878482,3.5771,3.5533912,3.57584552
20,25,Brazil,BRA,7.360401,7.373152,7.390714,7.399703,7.410114,7.3868168
21,26,Brunei,BRN,2.8694475,2.86304,2.8563678,2.8554647,2.856928,2.8602496
22,27,Bulgaria,BGR,3.39465,3.3915794,3.3906965,3.3925362,3.3973696,3.39336634
23,28,Burkina Faso,BFA,3.1145816,3.1232522,3.1298168,3.1268334,3.116734,3.1222436
24,29,Burundi,BDI,3.6089268,3.6224823,3.6330798,3.6369815,3.6385643,3.62800694
25,30,Cambodia,KHM,4.566454,4.5671954,4.5659227,4.569771,4.579762,4.56982102
26,31,Cameroon,CMR,3.203826,3.2095976,3.2144318,3.2105591,3.1999922,3.20768134
27,32,Canada,CAN,4.3409214,4.3487153,4.3520355,4.3420477,4.3206058,4.34086514
28,33,Cape Verde,CPV,3.0845563,3.0896816,3.0931003,3.0911412,3.0854897,3.08879382
29,34,Central African Republic,CAF,4.37294,4.4008346,4.4210496,4.4199443,4.405564,4.4040665
30,35,Chad,TCD,3.3449247,3.361517,3.373495,3.3743734,3.3696513,3.36479228
31,36,Chile,CHL,5.479053,5.462673,5.4476876,5.4494305,5.4619493,5.46015868
32,37,China,CHN,3.1001413,3.1556082,3.213697,3.2062707,3.1641822,3.16797988
33,38,Colombia,COL,4.033796,4.3549194,4.6807995,4.7017093,4.701662,4.49457724
34,40,Congo,COG,3.7387137,3.745919,3.7525582,3.7484298,3.7367034,3.74446482
35,41,Costa Rica,CRI,4.1796927,4.18692,4.191305,4.193752,4.195216,4.18937714
36,42,Cote d'Ivoire,CIV,3.2344174,3.2363596,3.2368672,3.2381794,3.2402778,3.23722028
37,43,Croatia,HRV,3.575285,3.5780432,3.5801265,3.58538,3.5950115,3.58276924
38,45,Cyprus,CYP,6.5200295,6.4977756,6.4726014,6.46673,6.4671764,6.48486258
39,46,Czechia,CZE,3.1647387,3.1530337,3.1426318,3.1446435,3.1539073,3.151791
40,47,Democratic Republic of Congo,COD,3.8244972,3.8296635,3.8333197,3.8279476,3.8151321,3.82611202
41,48,Denmark,DNK,4.896541,4.893634,4.8873973,4.8819747,4.873904,4.8866902
42,49,Djibouti,DJI,3.2534885,3.2554479,3.2565503,3.256191,3.25465,3.25526554
43,51,Dominican Republic,DOM,4.4953833,4.4905167,4.485532,4.489796,4.50035,4.4923156
44,52,East Timor,TLS,3.7535882,3.7641618,3.7740252,3.783179,3.7955263,3.7740961
45,53,Ecuador,ECU,5.218065,5.2148705,5.2097163,5.215803,5.2311482,5.2179206
46,54,Egypt,EGY,4.569759,4.5637245,4.555389,4.5646315,4.5883927,4.56837934
47,55,El Salvador,SLV,4.410211,4.412546,4.412135,4.4114614,4.4097867,4.41122802
48,56,Equatorial Guinea,GNQ,3.8147438,3.8198767,3.824424,3.8181841,3.80493,3.81643172
49,58,Estonia,EST,3.3946989,3.3828745,3.3711312,3.3715444,3.3788164,3.37981308
50,59,Eswatini,SWZ,3.5184844,3.5268881,3.5317113,3.5194218,3.4919646,3.51769404
51,60,Ethiopia,ETH,3.4316795,3.449894,3.464343,3.4678712,3.4656384,3.45588522
52,61,Fiji,FJI,4.0307055,4.0257387,4.020215,4.0261126,4.039825,4.02851936
