,index,Country Name,Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,0.69959515,0.69961786,0.6996218,0.6996377,0.6996446,0.699623422
1,1,Albania,ALB,0.54220194,0.542146,0.54210234,0.5420571,0.5420086,0.542103196
2,2,Algeria,DZA,0.75634015,0.75632703,0.7563117,0.7562944,0.7562755,0.756309756
3,5,Angola,AGO,0.55389977,0.55390006,0.55390006,0.5538997,0.5538995,0.553899818
4,8,Armenia,ARM,0.5417096,0.541649,0.54158723,0.5415265,0.541465,0.541587466
5,9,Australia,AUS,1.1250105,1.12502,1.1250321,1.125041,1.1250612,1.12503296
6,10,Austria,AUT,0.9011552,0.90091336,0.9007627,0.90060717,0.90043485,0.900774656
7,11,Azerbaijan,AZE,0.52231205,0.5222714,0.52223,0.5221863,0.52214134,0.522228218
8,12,Bahamas,BHS,0.89927167,0.8992594,0.89924705,0.89923733,0.8992322,0.89924953
9,13,Bahrain,BHR,0.7783771,0.7790424,0.7798653,0.78070796,0.78144014,0.77988658
10,14,Bangladesh,BGD,0.38948515,0.3894343,0.38938674,0.3893429,0.38930306,0.38939043
11,15,Barbados,BRB,0.9330644,0.9330169,0.932965,0.9329092,0.9328537,0.93296184
12,16,Belarus,BLR,0.52105135,0.5210136,0.5209698,0.52092916,0.5208894,0.520970662
13,17,Belgium,BEL,0.900407,0.90038335,0.90036076,0.900339,0.90031374,0.90036077
14,18,Belize,BLZ,0.9073512,0.9073933,0.90743446,0.9074714,0.9075041,0.907430892
15,19,Benin,BEN,0.5456036,0.5455945,0.54558605,0.54557824,0.5455701,0.545586498
16,21,Bhutan,BTN,0.3925432,0.39248458,0.39241844,0.39234978,0.39228165,0.39241553
17,22,Bolivia,BOL,0.887211,0.88718724,0.8871646,0.8871435,0.88712376,0.88716602
18,23,Bosnia and Herzegovina,BIH,0.54883975,0.5488675,0.5488927,0.54891616,0.5489406,0.548891342
19,24,Botswana,BWA,0.540917,0.54091257,0.54090756,0.54090244,0.54089737,0.540907388
20,25,Brazil,BRA,1.1120592,1.1120119,1.1119626,1.1119095,1.1118531,1.11195926
21,26,Brunei,BRN,0.606656,0.6066371,0.6065785,0.6065052,0.60645264,0.606565888
22,27,Bulgaria,BGR,0.4664348,0.4664225,0.4664138,0.46640617,0.46639755,0.466414964
23,28,Burkina Faso,BFA,0.535348,0.5353459,0.53534377,0.53534156,0.5353396,0.535343766
24,29,Burundi,BDI,0.5794212,0.57942027,0.5794142,0.57940906,0.5794055,0.579414046
25,30,Cambodia,KHM,0.31804135,0.31801122,0.31798357,0.31796005,0.3179395,0.317987138
26,31,Cameroon,CMR,0.5344484,0.534445,0.5344416,0.5344389,0.5344366,0.5344421
27,32,Canada,CAN,0.8053428,0.8053236,0.80529726,0.80527705,0.8052512,0.805298382
28,33,Cape Verde,CPV,0.57819664,0.5781383,0.5780848,0.57804316,0.5780113,0.57809484
29,34,Central African Republic,CAF,0.5299499,0.52994525,0.5299407,0.529935,0.5299282,0.52993981
30,35,Chad,TCD,0.53775096,0.53775036,0.53774995,0.5377498,0.53775066,0.537750346
31,36,Chile,CHL,0.9953073,0.9952928,0.99526083,0.9952146,0.9951639,0.995247886
32,37,China,CHN,0.1818321,0.18180573,0.1817923,0.18179223,0.18180744,0.18180596
33,38,Colombia,COL,0.7403241,0.7401854,0.73997295,0.73987126,0.7398617,0.740043082
34,40,Congo,COG,0.54537576,0.5453658,0.54535526,0.5453446,0.545334,0.545355084
35,41,Costa Rica,CRI,0.8724728,0.8725493,0.87261367,0.87266445,0.8727019,0.872600424
36,42,Cote d'Ivoire,CIV,0.5315788,0.53157127,0.5315629,0.53155416,0.5315454,0.531562506
37,43,Croatia,HRV,0.5451007,0.5450728,0.5450407,0.54501355,0.5449874,0.54504303
38,45,Cyprus,CYP,0.9101596,0.9102467,0.91031796,0.9103745,0.9104203,0.910303812
39,46,Czechia,CZE,0.54724824,0.547219,0.5471923,0.547169,0.54714864,0.547195436
40,47,Democratic Republic of Congo,COD,0.556526,0.5565265,0.556527,0.55652755,0.55652803,0.556527016
41,48,Denmark,DNK,0.94074917,0.94062287,0.9405177,0.94039935,0.94029397,0.940516612
42,49,Djibouti,DJI,0.6073283,0.6073187,0.6073101,0.60730255,0.60729665,0.60731126
43,51,Dominican Republic,DOM,0.9101655,0.91014826,0.9101331,0.91011876,0.910109,0.910134924
44,52,East Timor,TLS,0.31594095,0.31595463,0.31597155,0.31598878,0.31600568,0.315972318
45,53,Ecuador,ECU,0.90808165,0.90796834,0.9078061,0.907703,0.90765,0.907841818
46,54,Egypt,EGY,0.72426695,0.7241717,0.7240791,0.72399354,0.72391546,0.72408535
47,55,El Salvador,SLV,0.8263401,0.82627296,0.8261648,0.82604295,0.8259098,0.826146122
48,56,Equatorial Guinea,GNQ,0.5533111,0.5533188,0.55332834,0.55333936,0.55335176,0.553329872
49,58,Estonia,EST,0.52308995,0.523013,0.5229302,0.5228586,0.5227906,0.52293647
50,59,Eswatini,SWZ,0.53467923,0.53467375,0.53466743,0.5346607,0.5346536,0.534666942
51,60,Ethiopia,ETH,0.6144103,0.61440104,0.6143923,0.6143841,0.6143768,0.614392908
52,61,Fiji,FJI,0.27466592,0.27465728,0.2746492,0.2746417,0.274635,0.27464982
53,62,Finland,FIN,0.89060366,0.890508,0.89043283,0.89036083,0.8902839,0.890437844
54,63,France,FRA,0.90414417,0.90416116,0.9041692,0.90416944,0.90416586,0.904161966
55,64,Gabon,GAB,0.5621972,0.56219935,0.56220305,0.56220764,0.5622134,0.562204128
56,65,Gambia,GMB,0.54847974,0.54847974,0.5484799,0.54848,0.54847974,0.548479824
57,66,Georgia,GEO,0.5249459,0.5248707,0.52479917,0.5247313,0.5246634,0.524802094
58,67,Germany,DEU,0.74880296,0.74828607,0.7477406,0.74727356,0.7469019,0.747801018
59,68,Ghana,GHA,0.5439322,0.5439334,0.5439343,0.5439347,0.54393464,0.543933848
60,69,Greece,GRC,0.90648717,0.9066465,0.90673256,0.9068066,0.90686923,0.906708412
61,73,Guatemala,GTM,0.8008448,0.80072063,0.80059695,0.8004755,0.80035627,0.80059883
62,74,Guinea,GIN,0.5372907,0.5372822,0.537274,0.5372661,0.53725857,0.537274314
63,75,Guinea-Bissau,GNB,0.52663803,0.52663636,0.5266346,0.526633,0.52663183,0.526634764
64,76,Guyana,GUY,0.8701077,0.87002397,0.8697839,0.8696931,0.8697546,0.869872654
65,77,Haiti,HTI,0.84414774,0.84408164,0.8440158,0.84395117,0.8438882,0.84401691
66,78,Honduras,HND,0.81211436,0.8121209,0.8120988,0.8120671,0.81202614,0.81208546
67,79,Hungary,HUN,0.53766483,0.5376248,0.53758806,0.53755033,0.5375118,0.537587964
68,80,Iceland,ISL,0.9098578,0.9094681,0.90899944,0.9086723,0.9084446,0.909088448
69,81,India,IND,0.35408863,0.3541006,0.35411307,0.35412675,0.3541412,0.35411405
70,82,Indonesia,IDN,0.33065367,0.33064494,0.3306338,0.330622,0.33060965,0.330632812
71,83,Iran,IRN,0.8175256,0.8174364,0.81734693,0.8172588,0.81717443,0.817348432
72,84,Iraq,IRQ,0.67638224,0.6764379,0.6764812,0.6765096,0.6765268,0.676467548
73,85,Ireland,IRL,0.701208,0.7012379,0.7012676,0.70127773,0.701279,0.701254046
74,86,Israel,ISR,1.0518651,1.0517591,1.0516589,1.0515593,1.0514655,1.05166158
