,index,Country Name,Code,2015,2016,2017,2018,2019,Average
0,0,Afghanistan,AFG,0.115101844,0.1166165,0.11712369,0.11767915,0.117413975,0.116787032
1,1,Albania,ALB,0.13121219,0.1328488,0.13404264,0.13548058,0.1366484,0.134046522
2,2,Algeria,DZA,0.20633115,0.20858222,0.21053092,0.21078427,0.2106033,0.209366372
3,5,Angola,AGO,0.13496503,0.1359111,0.13628906,0.1363325,0.13675597,0.136050732
4,8,Armenia,ARM,0.1219621,0.123195335,0.12421232,0.12523004,0.12600231,0.124120421
5,9,Australia,AUS,1.0158271,1.0205263,1.0254059,1.0284127,1.0316882,1.02437204
6,10,Austria,AUT,0.5627958,0.5598134,0.55712646,0.55835485,0.5622296,0.560064022
7,11,Azerbaijan,AZE,0.14168634,0.14240858,0.14302622,0.14339092,0.1438001,0.142862432
8,12,Bahamas,BHS,0.29319462,0.29298857,0.29266343,0.29225552,0.2916803,0.292556488
9,13,Bahrain,BHR,0.2798101,0.28314427,0.2866591,0.28855082,0.2906812,0.285769098
10,14,Bangladesh,BGD,0.10699789,0.109776355,0.11230933,0.11393922,0.11529978,0.111664515
11,15,Barbados,BRB,0.23968711,0.2400768,0.24045463,0.24041596,0.2400891,0.24014472
12,16,Belarus,BLR,0.13096942,0.1318798,0.13296206,0.13347198,0.1341819,0.132693032
13,17,Belgium,BEL,0.4296135,0.43202114,0.43470827,0.43582413,0.4368189,0.433797188
14,18,Belize,BLZ,0.19304523,0.19491607,0.19614568,0.19646068,0.19617338,0.195348208
15,19,Benin,BEN,0.09622692,0.0974742,0.09808585,0.09880143,0.099465676,0.098010815
16,21,Bhutan,BTN,0.13500409,0.13746318,0.13964275,0.14166836,0.14370656,0.139496988
17,22,Bolivia,BOL,0.2260501,0.22895251,0.23139873,0.23404156,0.23742174,0.231572928
18,23,Bosnia and Herzegovina,BIH,0.13051607,0.13214958,0.13389814,0.13516963,0.13697994,0.133742672
19,24,Botswana,BWA,0.17265433,0.1747806,0.1759335,0.17716262,0.17784883,0.175675976
20,25,Brazil,BRA,0.23156287,0.23157497,0.23137628,0.2317659,0.23241082,0.231738168
21,26,Brunei,BRN,0.43122235,0.4292552,0.4272792,0.42616233,0.4247467,0.427733156
22,27,Bulgaria,BGR,0.1496691,0.15158065,0.15356614,0.15530984,0.15696159,0.153417464
23,28,Burkina Faso,BFA,0.08918113,0.09033969,0.09138091,0.09209199,0.092556745,0.091110093
24,29,Burundi,BDI,0.071419746,0.0716356,0.07167876,0.07155357,0.071074806,0.071472496
25,30,Cambodia,KHM,0.078898154,0.07996954,0.08171951,0.08276531,0.08394735,0.081459973
26,31,Cameroon,CMR,0.10874959,0.10938865,0.11081621,0.11125524,0.112020984,0.110446135
27,32,Canada,CAN,0.42588902,0.42759335,0.42864105,0.42866212,0.4285759,0.427872288
28,33,Cape Verde,CPV,0.13447116,0.13507031,0.1359024,0.13636278,0.13719739,0.135800808
